NISSAN,INFINITI FX35/FX50,35,8902,3.9317,2012,MPV
SUBARU,IMPREZA,35,67058,0.5219,2012,Car
GENERAL MOTORS,CHEVROLET COLORADO PICKUP,36,50765,0.7092,2012,Truck
MERCEDES-BENZ,E-CLASS,38,50591,0.7511,2012,Car
NISSAN,FRONTIER PICKUP,39,71502,0.5454,2012,Truck
HYUNDAI,GENESIS,41,37741,1.0864,2012,Car
HONDA,PILOT,42,42657,0.9846,2012,MPV
GENERAL MOTORS,GMC TERRAIN,44,100103,0.4395,2012,MPV
MERCEDES-BENZ,GLK-CLASS,45,26554,1.6947,2012,MPV
NISSAN,PATHFINDER,47,15765,2.9813,2012,MPV
HYUNDAI,SANTA FE,49,59411,0.8248,2012,MPV
GENERAL MOTORS,BUICK LACROSSE,50,60891,0.8211,2012,Car
FORD MOTOR CO,FIESTA,50,59978,0.8336,2012,Car
GENERAL MOTORS,CADILLAC CTS,51,52531,0.9709,2012,Car
BMW,5,53,43103,1.2296,2012,Car
TOYOTA,SIENNA VAN,55,112906,0.4871,2012,MPV
FORD MOTOR CO,EDGE,56,75972,0.7371,2012,MPV
KIA,SORENTO,60,107269,0.5593,2012,MPV
FIAT,500,60,60935,0.9847,2012,Car
CHRYSLER,DODGE JOURNEY,62,77471,0.8003,2012,Car
TOYOTA,RAV4,62,170414,0.3638,2012,MPV
CHRYSLER,JEEP WRANGLER,64,141387,0.4527,2012,MPV
TOYOTA,TACOMA PICKUP,65,127812,0.5086,2012,Truck
MITSUBISHI,GALANT,67,18600,3.6022,2012,Car
TOYOTA,PRIUS,67,220571,0.3038,2012,Car
HONDA,CR-V,68,230293,0.2953,2012,MPV
TOYOTA,HIGHLANDER,68,132822,0.5120,2012,MPV
GENERAL MOTORS,CHEVROLET SONIC,69,83979,0.8216,2012,Car
FORD MOTOR CO,TAURUS,69,39314,1.7551,2012,Car
NISSAN,ROGUE,76,140561,0.5407,2012,MPV
HYUNDAI,ACCENT,80,73458,1.0891,2012,Car
MERCEDES-BENZ,C- CLASS,84,76638,1.0961,2012,Car
NISSAN,INFINITI G25/G37,85,56585,1.5022,2012,Car
GENERAL MOTORS,CHEVROLET EQUINOX,87,220965,0.3937,2012,MPV
KIA,SOUL,94,100672,0.9337,2012,Car
KIA,FORTE,106,72284,1.4664,2012,Car
VOLKSWAGEN,PASSAT,107,95583,1.1194,2012,Car
GENERAL MOTORS,CHEVROLET CAPTIVA,112,31797,3.5223,2012,MPV
CHRYSLER,JEEP LIBERTY,124,104184,1.1902,2012,MPV
HYUNDAI,ELANTRA,125,169256,0.7385,2012,Car
MAZDA,3,129,142875,0.9029,2012,Car
NISSAN,MAXIMA,129,65150,1.9800,2012,Car
KIA,OPTIMA,132,106747,1.2366,2012,Car
CHRYSLER,DODGE CHALLENGER,143,43080,3.3194,2012,Car
TOYOTA,YARIS,166,54886,3.0245,2012,Car
VOLKSWAGEN,JETTA,176,178153,0.9879,2012,Car
FORD MOTOR CO,MUSTANG,178,80487,2.2115,2012,Car
FORD MOTOR CO,ESCAPE,199,238713,0.8336,2012,MPV
MAZDA,6,202,40004,5.0495,2012,Car
NISSAN,SENTRA,229,139585,1.6406,2012,Car
CHRYSLER,300,232,60287,3.8483,2012,Car
GENERAL MOTORS,CHEVROLET CAMARO,249,80707,3.0852,2012,Car
HYUNDAI,SONATA,264,230381,1.1459,2012,Car
NISSAN,VERSA,272,149418,1.8204,2012,Car
HONDA,ACCORD,275,325034,0.8461,2012,Car
GENERAL MOTORS,CHEVROLET CRUZE,297,270622,1.0975,2012,Car
TOYOTA,COROLLA,304,197973,1.4257,2012,Car
CHRYSLER,DODGE CHARGER,316,66432,4.7567,2012,Car
CHRYSLER,DODGE AVENGER,329,85365,3.8540,2012,Car
HONDA,CIVIC,333,455627,0.7309,2012,Car
CHRYSLER,200,352,121175,2.9049,2012,Car
FORD MOTOR CO,FUSION,371,308520,1.2025,2012,Car
FORD MOTOR CO,FOCUS,413,318556,1.2965,2012,Car
GENERAL MOTORS,CHEVROLET MALIBU,509,225791,2.2543,2012,Car
TOYOTA,CAMRY,547,523846,1.0442,2012,Car
GENERAL MOTORS,CHEVROLET IMPALA,604,165986,3.6389,2012,Car
NISSAN,ALTIMA,760,313956,2.4207,2012,Car

